"","INDEX_CAL","SEXE","date1","Year","mois","saisonyear","Id","geometry"
"2063",0.9375,"XY",2023-11-02,2023,11,2024,"S83-015",c(903313, 6241719)
"2066",0.895833313,"XY",2023-11-06,2023,11,2024,"S87-103",c(1000868, 6340698)
"2067",0.854166687,"XY",2023-11-07,2023,11,2024,"S78-030",c(965570, 6398586)
"2068",1,"XX",2023-11-08,2023,11,2024,"S81-125",c(929115, 6374300)
"2069",0.755208313,"XY",2023-11-08,2023,11,2024,"S74-001",c(931788, 6372165)
"2070",0.859375,"XY",2023-11-08,2023,11,2024,"S74-001",c(929329, 6374145)
"2072",0.994791687,"XX",2023-11-09,2023,11,2024,"S86-106",c(949294, 6414568)
"2076",1,"XX",2023-11-12,2023,11,2024,"S74-007",c(1042286, 6344598)
"2077",0.604166687,"XY",2023-11-12,2023,11,2024,"S65-35",c(947895, 6411341)
"2079",0.723958313,"XY",2023-11-13,2023,11,2024,"S86-035",c(923891, 6398948)
"2080",0.864583313,"XY",2023-11-13,2023,11,2024,"S73-070",c(940956, 6428470)
"2081",0.864583313,"XY",2023-11-14,2023,11,2024,"S86-037",c(909743, 6370263)
"2082",1,"XX",2023-11-14,2023,11,2024,"S74-014",c(907779, 6347730)
"2083",0.921875,"XX",2023-11-14,2023,11,2024,"S86-110",c(907598, 6347778)
"2088",1,"XY",2023-11-17,2023,11,2024,"S65-35",c(946316, 6411722)
"2089",0.802083313,"XX",2023-11-17,2023,11,2024,"S83-044",c(907835, 6375600)
"2090",0.958333313,"XX",2023-11-17,2023,11,2024,"S83-044",c(907835, 6375600)
"2092",0.973958313,"XX",2023-11-17,2023,11,2024,"S78-001",c(912143, 6275679)
"2095",0.911458313,"XX",2023-11-20,2023,11,2024,"S80-061",c(874531, 6381021)
"2096",0.989583313,"XX",2023-11-21,2023,11,2024,"S81-136",c(934882, 6429576)
"2097",0.744791687,"XY",2023-11-21,2023,11,2024,"S83-024",c(887034, 6302614)
"2098",1,"XX",2023-11-21,2023,11,2024,"S77-049",c(765709, 6369000)
"2099",0.682291687,"XX",2023-11-22,2023,11,2024,"S86-002",c(989338, 6478092)
"2100",0.895833313,"XY",2023-11-22,2023,11,2024,"S86-073",c(957022, 6319857)
"2101",0.770833313,"XY",2023-11-22,2023,11,2024,"S81-113",c(957147, 6319937)
